cod_mun,municipio
14-01-001,Alegría-Dulantzi
14-01-002,Amurrio
14-01-003,Aramaio
14-01-004,Artziniega
14-01-006,Armiñón
14-01-008,Arratzua-Ubarrundia
14-01-009,Asparrena
14-01-010,Ayala/Aiara
14-01-011,Baños de Ebro/Mañueta
14-01-013,Barrundia
14-01-014,Berantevilla
14-01-016,Bernedo
14-01-017,Campezo/Kanpezu
14-01-018,Zigoitia
14-01-019,Kripan
14-01-020,Kuartango
14-01-021,Elburgo/Burgelu
14-01-022,Elciego
14-01-023,Elvillar/Bilar
14-01-027,Iruraiz-Gauna
14-01-028,Labastida/Bastida
14-01-030,Lagrán
14-01-031,Laguardia
14-01-032,Lanciego/Lantziego
14-01-033,Lapuebla de Labarca
14-01-034,Leza
14-01-036,Laudio/Llodio
14-01-037,Arraia-Maeztu
14-01-039,Moreda de Álava/Moreda Araba
14-01-041,Navaridas
14-01-042,Okondo
14-01-043,Oyón-Oion
14-01-044,Peñacerrada-Urizaharra
14-01-046,Erriberagoitia/Ribera Alta
14-01-047,Erriberabeitia
14-01-049,Añana
14-01-051,Agurain/Salvatierra
14-01-052,Samaniego
14-01-053,San Millán/Donemiliaga
14-01-054,Urkabustaiz
14-01-055,Valdegovía/Gaubea
14-01-056,Harana/Valle de Arana
14-01-057,Villabuena de Álava/Eskuernaga
14-01-058,Legutio
14-01-059,Vitoria-Gasteiz
14-01-060,Yécora/Iekora
14-01-061,Zalduondo
14-01-062,Zambrana
14-01-063,Zuia
14-01-901,Iruña Oka/Iruña de Oca
14-01-902,Lantarón
07-02-001,Abengibre
07-02-002,Alatoz
07-02-003,Albacete
07-02-004,Albatana
07-02-005,Alborea
07-02-006,Alcadozo
07-02-007,Alcalá del Júcar
07-02-008,Alcaraz
07-02-009,Almansa
07-02-010,Alpera
07-02-011,Ayna
07-02-012,Balazote
07-02-013,Balsa de Ves
07-02-014,"Ballestero, El"
07-02-015,Barrax
07-02-016,Bienservida
07-02-017,Bogarra
07-02-018,Bonete
07-02-019,"Bonillo, El"
07-02-020,Carcelén
07-02-021,Casas de Juan Núñez
07-02-022,Casas de Lázaro
07-02-023,Casas de Ves
07-02-024,Casas-Ibáñez
07-02-025,Caudete
07-02-026,Cenizate
07-02-027,Corral-Rubio
07-02-028,Cotillas
07-02-029,Chinchilla de Monte-Aragón
07-02-030,Elche de la Sierra
07-02-031,Férez
07-02-032,Fuensanta
07-02-033,Fuente-Álamo
07-02-034,Fuentealbilla
07-02-035,"Gineta, La"
07-02-036,Golosalvo
07-02-037,Hellín
07-02-038,"Herrera, La"
07-02-039,Higueruela
07-02-040,Hoya-Gonzalo
07-02-041,Jorquera
07-02-042,Letur
07-02-043,Lezuza
07-02-044,Liétor
07-02-045,Madrigueras
07-02-046,Mahora
07-02-047,Masegoso
07-02-048,Minaya
07-02-049,Molinicos
07-02-050,Montalvos
07-02-051,Montealegre del Castillo
07-02-052,Motilleja
07-02-053,Munera
07-02-054,Navas de Jorquera
07-02-055,Nerpio
07-02-056,Ontur
07-02-057,Ossa de Montiel
07-02-058,Paterna del Madera
07-02-059,Peñascosa
07-02-060,Peñas de San Pedro
07-02-061,Pétrola
07-02-062,Povedilla
07-02-063,Pozohondo
07-02-064,Pozo-Lorente
07-02-065,Pozuelo
07-02-066,"Recueja, La"
07-02-067,Riópar
07-02-068,Robledo
07-02-069,"Roda, La"
07-02-070,Salobre
07-02-071,San Pedro
07-02-072,Socovos
07-02-073,Tarazona de la Mancha
07-02-074,Tobarra
07-02-075,Valdeganga
07-02-076,Vianos
07-02-077,Villa de Ves
07-02-078,Villalgordo del Júcar
07-02-079,Villamalea
07-02-080,Villapalacios
07-02-081,Villarrobledo
07-02-082,Villatoya
07-02-083,Villavaliente
07-02-084,Villaverde de Guadalimar
07-02-085,Viveros
07-02-086,Yeste
07-02-901,Pozo Cañada
17-03-001,"Atzúbia, l'"
17-03-002,Agost
17-03-003,Agres
