denominacion,siglas
PARTIDO HUMANISTA,PH
ACCION REPUBLICANA,AR
PARTIDO DE LA LEY NATURAL,PLN
EUZKO ALDERDI JELTZALEA-PARTIDO NACIONALISTA VASCO,EAJ-PNV
BERDEAK-LOS VERDES,B-LV
LA FALANGE,FE
EZKER BATUA-IZQUIERDA UNIDA,EB-IU
PARTIDO OBRERO SOCIALISTA INTERNACIONALISTA,POSI
EUSKAL HERRITARROK,EH
UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,CDS-UC
PLATAFORMA ESPAÑA 2000,ES2000
EUSKO ALKARTASUNA,EA
PARTIDO POPULAR,PP
"NAZIOARTEKO BORROKA",LI (LIT-CI)
PARTIDO SOCIALISTA DE EUSKADI-EUSKADIKO EZKERRA,PSE-EE-PSOE
IZQUIERDA UNIDA,IU
GRUPO INDEPENDIENTE LIBERAL,GIL
PARTIDO SOCIALISTA OBRERO ESPAÑOL - PROGRESISTAS,PSOE-PROGR.
TIERRA COMUNERA-PARTIDO NACIONALISTA CASTELLANO,TC-PNC
PARTIDO DEMOCRATA ESPAÑOL,PADE
UNION CENTRISTA-CENTRO DEMOCRATICO Y SOCIAL,UC-CDS
PARTIDO ESPAÑOL DE AUTONOMOS,PEDA
PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA,PCPE
ESQUERRA UNIDA DEL PAIS VALENCIA,EUPV
LOS VERDES-ECOPACIFISTAS,LVE
ESTAT CATALA,EC
INICIATIVA INDEPENDIENTE,II
BLOC NAC. VALENCIA-ELS VERDS-VALENCIANS PEL CANVI,BLOC-VERDS
ESQUERRA NACIONALISTA VALENCIANA,ENV
FRONT PEL PAIS VALENCIA-ERC,FRONT-ERC
FALANGE ESPAÑOLA INDEPENDIENTE-FALANGE 2000,FEI-FE 2000
UNIO VALENCIANA,UV
"NACION ANDALUZA",NA
UNION REGIONALISTA ALMERIENSE,URAL
IZQUIERDA UNIDA LOS VERDES-CONVOC. POR ANDALUCIA,IULV-CA
IZQUIERDA ANDALUZA,IA
PARTIDO ANDALUCISTA,PA
ASAMBLEA DE ANDALUCIA,A
LA FALANGE,LF
PLATAFORMA ESPAÑA 2000,PE2000
UNION REGIONALISTA DE CASTILLA Y LEON,URCL
SOCIALISTAS INDEPENDIENTES DE EXTREMADURA,SIEX
EXTREMADURA UNIDA,EU
LOS VERDES DE EXTREMADURA,LV
COALICION EXTREMEÑA,PREX-CREX
ELS VERDS DE LES ILLES BALEARS,EVIB
ESQUERRA REPUBLICANA DE CATALUNYA,ERC
COALICIO TREBALLADORS PER LA DEMOCRACIA,TD
PSM ENTESA NACIONALISTA,PSM-EN
PARTIDO RENOVADOR DE LAS ISLAS BALEARES,PRIB
C.ILLES BALEARS UNIO MALLORQUINA-INDEP. DE MENORCA,UM-INME
UNION DEL PUEBLO BALEAR,UPB
ELS VERDS-GRUP VERD,EV-GV
ESQUERRA UNIDA I ALTERNATIVA,EUIA
ESTADO NACIONAL EUROPEO,N
INICIATIVA PER CATALUNYA-VERDS,IC-V
CONVERGENCIA I UNIO,CIU
IZQUIERDA REPUBLICANA-PARTIT REPUBLICA D'ESQUERRA,IR-PRE
ELS VERDS-ALTERNATIVA VERDA,EV-AV
PARTIDO NACIONALISTA CALO,PNCA
PARTIT DELS SOCIALISTES DE CATALUNYA,PSC-PSOE
IZQUIERDA ANDALUZA,IAN
PARTIDO POSITIVISTA CRISTIANO,PPCR
PARTIDO CARLISTA,PC
LA FALANGE,LA FALANGE
BLOQUE NACIONALISTA GALEGO,BNG
FRENTE POPULAR GALEGA,FPG
COALICION GALEGA,CG
DEMOCRACIA GALEGA,DG
ESQUERDA UNIDA-IZQUIERDA UNIDA,EU-IU
PARTIDO DE LOS AUTONOMOS Y PROFESIONALES,AU.TO.NO.MO
PARTIDO DOS SOCIALISTAS DE GALICIA - PSOE - PROGR.,PSDEG-PSOE
LOS VERDES-GRUPO VERDE,LV-GV
"PARTIDO DE AUTONOMOS, PENSIONISTAS E INDEPENDIENT.",EL-PAPI
PARTIDO REGIONALISTA DE GUADALAJARA,PRGU
PARTIDO CARLISTA,EKA
PARTIDO ARAGONES,PAR
PARTIDO SOCIALISTA OBRERO ESPAÑOL,PSOE
CHUNTA ARAGONESISTA,CHA
INICIATIVA ARAGONESA,INAR
UNION DEL PUEBLO LEONES,UPL
"SALAMANCA, ZAMORA, LEON PREPAL",PREPAL
PARTIDO DE EL BIERZO,PB
MOVIMIENTO AL SOCIALISMO HUMANISTA,MASH
LOS VERDES,VERDES
PARTIDO RIOJANO,P.RIOJANO
PARTIDO DE LOS AUTONOMOS ESPAÑOLES PENSIONISTAS,PAE
PARTIDO DE ASOCIACION DE VIUDAS Y ESPOSAS LEGALES,PAVIEL
UNION IBERICA,UNIB
LOS VERDES-COMUNIDAD DE MADRID,LV-CM
IZQUIERDA UNIDA DE LA COMUNIDAD DE MADRID,IU-CM
PROGRESISTAS FEDERALES,PF
PARTIDO REGIONAL INDEPENDIENTE MADRILEÑO,PRIM
PLATAFORMA ESPAÑA 2000,PLAT. ES.
COALICION SOCIAL DEMOCRATA Y LIBERAL,CSD-L
UNION NACIONAL,UN
NUEVA REGION,NR
LOS VERDES,LVRM
CONVERGENCIA CIUDADANA DEL SURESTE,CCS
IZQUIERDA UNIDA DE NAVARRA-NAFARROAKO EZKER BATUA,IUN-NEB
UNION DEL PUEBLO NAVARRO-PARTIDO POPULAR,UPN-PP
CONVERGENCIA DEMOCRATAS DE NAVARRA,CDN
BLOQUE DE LA IZQUIERDA ASTURIANA,BIA
PARTIU ASTURIANISTA,PAS
ANDECHA ASTUR,AA
UNION RENOVADORA ASTURIANA,URAS
CIVES,CIVES
IZQUIERDA UNIDA CANARIA,IUC
PARTIDO DE INDEPENDIENTES DE LANZAROTE,PIL
UNIDAD PROGRESISTAS DE CANARIAS,UP-CAN
COALICION CANARIA,CC
PARTIDO COMUNISTA DEL PUEBLO CANARIO,PCPC
TAGOROR PENSIONISTA DE CANARIAS,TPC
UNION SALMANTINA INDEPENDIENTE,USI
